TICKER,PUBLICATION_DATE,SUMMARY
TSLA,2018-03-28 23:16:16 +0000,"Tesla Inc (TSLA.O) shares fell sharply again on Wednesday, reeling from a credit downgrade of the electric car maker by Moody's Investors Service, federal probes of a fatal crash and concerns about Model 3 production.  On Tuesday, Tesla tumbled 8.2 percent to its lowest close in almost a year after the U.S. National Transportation Safety Board (NTSB) opened a field investigation into a fatal crash and vehicle fire in California on March 23.  On Wednesday, a second federal regulator, the National Highway Transportation Safety Administration (NHTSA), said it was sending a team to California to investigate the crash."
TSLA,2018-03-28 22:49:53 +0000,After a deadly accident involving Uber s autonomous car in Arizona on Mar 18 the fate of self driving car technology is in question Arizona banned Uber from testing vehicles on public roads and the California Department of Motor Vehicles said that Uber has indicated it will not renew its
TSLA,2018-03-28 22:49:53 +0000,After a deadly accident involving Uber s autonomous car in Arizona on Mar 18 the fate of self driving car technology is in question Arizona banned Uber from testing vehicles on public roads and the California Department of Motor Vehicles said that Uber has indicated it will not renew its
TSLA,2018-03-28 22:48:22 +0000,"Tesla Inc shares fell sharply again on Wednesday, reeling from a credit downgrade of the electric car maker by Moody's Investors Service, federal probes of a fatal crash and concerns about Model 3 production.  On Tuesday, Tesla tumbled 8.2 percent to its lowest close in almost a year after the U.S. National Transportation Safety Board (NTSB) opened a field investigation into a fatal crash and vehicle fire in California on March 23.  On Wednesday, a second federal regulator, the National Highway Transportation Safety Administration (NHTSA), said it was sending a team to California to investigate the crash."
TSLA,2018-03-28 22:48:22 +0000,"Tesla Inc shares fell sharply again on Wednesday, reeling from a credit downgrade of the electric car maker by Moody's Investors Service, federal probes of a fatal crash and concerns about Model 3 production.  On Tuesday, Tesla tumbled 8.2 percent to its lowest close in almost a year after the U.S. National Transportation Safety Board (NTSB) opened a field investigation into a fatal crash and vehicle fire in California on March 23.  On Wednesday, a second federal regulator, the National Highway Transportation Safety Administration (NHTSA), said it was sending a team to California to investigate the crash."
TSLA,2018-03-28 22:48:22 +0000,"The National Transportation Safety Board said Tuesday it had sent a team to investigate the crash near Mountain View, California that led to the death of a Tesla driver.  The two federal agencies in January sent teams to review a Tesla crash but has not released any findings.  Tesla did not offer a comment on the NHTSA probe, but said Tuesday in a blog post that it did not know the cause of the March 23 crash and had offered assistance to investigators."
TSLA,2018-03-28 21:52:08 +0000,"Tesla agreed to buy solar panel installer SolarCity for $2.6 billion (Â£1.9 billion) in an all-stock deal in 2016.  Musk was the biggest shareholder in both Tesla and SolarCity at that time, and his SolarCity shares were converted to $500 million of Tesla shares."
TSLA,2018-03-28 21:52:00 +0000,"Fintech Sentieo just raised $6 million, a pittance versus the billions Blackstone and S&P collectively spent to buy Thomson Reuters and Kensho last month. But this financial data terminal is for real and winning big money customers on Wall Street. Here's why."
TSLA,2018-03-28 21:52:00 +0000,"Tesla CEO Elon Musk is so focused on automating electric car manufacturing that it's hurting the company's ability to deliver on its Model 3 production goals, Bernstein said Wednesday."
TSLA,2018-03-28 21:49:38 +0000,Major benchmarks extended yesterday s losses in another volatile session on Wednesday as tech stocks continued to weigh on the overall market The Nasdaq Composite led the market lower by falling 0 9 while the S amp P 500 and Dow Jones Industrial Average 160 both edged
TSLA,2018-03-28 21:49:38 +0000,Major benchmarks extended yesterday s losses in another volatile session on Wednesday as tech stocks continued to weigh on the overall market The Nasdaq Composite led the market lower by falling 0 9 while the S amp P 500 and Dow Jones Industrial Average 160 both edged
